"","rt_between","degree"
"datakid23",0,1
"helenepower_co",0,1
"shewgirl",0,1
"ShaquilleRay",0,1
"karl_sellmann",0,3
"AngusTaylorMP",0,12
"SyneDrum",0,1
"rowlandm",0,1
"ChrisO_Connor",0.75,10
"kargold100",0,2
"Wonna",0,1
"largerama",0,2
"dsi4au",0,1
"CodeCadets",0,14
"kenatgriffith",0,3
"JAGarrick",1118.66666666667,19
"BSBot01",0,7
"murudau",0,12
"blairhudson",222.046391332237,14
"e2discover",0,1
"nardwebster",0,3
"nsg223",0,2
"ezankov",0,2
"karl_sellmann @UniversitySA",0,2
"nzicecool",0,1
"WyndhamCouncil",0,2
"lin_nah",2580.64717237424,41
"indiaopendata",0,1
"petermarxy",852.634746792449,18
"karl_sellmann @govhack_sa",0,1
"govworksnz",0,2
"innovation_rtw",0,2
"Stats_NZ",0,4
"HOSKINMANDY22",0,2
"govhack_sa @HOSKINMANDY22",0,1
"jacqui_yuan",0,1
"wes_yuan",0,1
"tas_666",0,1
"ShonaChis27",1,2
"GovHackSydney @GovHackSydney",0,2
"A_Sinodinos",0,11
"leogaggl",0,3
"IT_MRobinson",0,6
"JennyIsa3",0,2
"pinnckoay",0,2
"AudreyMatty",0,1
"GeoscienceAus",1475.86789003325,29
"Techman_83",0,2
"tobybellwood",461.744259289007,10
"vgirish",0,2
"PeterKaridis",0,1
"GovHackAU @govhackwa",0,1
"koolth",465.813189305793,14
"engage2govern",0,3
"zBeer",422,14
"maxious",0,2
"rv41stDegree",0,1
"michell91762786",0,1
"iBadawi",34.3630991808977,9
"faustgar",211,4
"JoshDHolmes",0,3
"Bipeds4Justice @govhack_sa",0,1
"balendran",0,1
"_KatherineN",0,1
"cybershellsec",0,1
"PickUpAustrali1",0,1
"HuskieHacks",0,5
"bot_innovation",0,2
"MishManners @joelith",0,1
"itknowingness",0,1
"biconnections",0,1
"carly_io",0,2
"AstridGoss",0,1
"TERN_Aus",0,3
"Data_Vic",30.4090274278704,5
"Chooks_SA @zviko_masiiwa @govhack_sa",0,2
"kcarruthers",0,2
"PerpetuaTurner",0,1
"TheLeadSA",0,2
"PedareCC",0,1
"djp1974",0,8
"brbeswick",0,2
"rdasc",0,3
"MerrickSpain",0,4
"elumenarti",0,1
"imaqsood",0,1
"vicwray",0,1
"PawseyCentre",0,2
"data_luke",0,6
"ViewportTech",0,1
"IdeasBoomAu",0,6
"cciturria",0,1
"alessiasacchi",0,2
"shaila309",0,1
"musitecltd",0,1
"beet_keeper",1023.81959646592,5
"DigitalNZ",0,1
"theiNshowonline",0,1
"brightsparkler",0,1
"scibidoo",0,1
"Mithun_Aggarwal",0,7
"arafkarim",0,2
"Rory_Medcalf",0,1
"BOM_au",0,15
"govhack_doggie",0,1
"4DevsByDev",0,1
"beattie_twit",0,5
"_digitalfutures",0,1
"TheGratitudeEx",0,1
"Data61news",3779.05149764207,25
"iKenSpatial",0,1
"death667b",0,2
"ChadRenando",0,8
"Cyber_Roo",0,1
"petescarth",0,1
"s3cmas73r",0,1
"OzmoreWayne",0,1
"techAU",0,1
"robn",0,2
"Sandra70256242",0,1
"devopswannabe @GovHackNSW",0,1
"CherieEllisNZ",0,2
"mikekreuzer",0,1
"GovHackCBR @GovHackAU @misskokolib",0,1
"u_hardy",0,1
"TPPccbc",0,5
"IPAustralia_OCE",0,8
"MattMschultz77",0,1
"bhackerspace",214.51831435732,12
"KathyReid",0,6
"linuxaustralia",0,4
"Louisedenoon",0,2
"EbonyBallintyne",0,1
"Cyber_Shed",0,3
"djmer1",0,11
"TheRealist_1984 @govhack_sa",0,3
"winza1985",0,1
"YVWater",0,1
"fang",0,1
"sangixox",0,1
"jzgarnett",0,1
"AlanConnect",0,1
"GSAVictoria",0,4
"JennyKayNZ",1843.42420885194,16
"LCSTEAMNGN",0,1
"andrewperry",1,2
"UQ_EAIT",0,1
"pam_damonium",0,2
"jacki_liddle",0,1
"ScienceGovAu",0,4
"AVERTtrial",0,1
"RobynJCooper",0,2
"LGAofSA",0,3
"SSENSW",0,1
"Edprocure",0,1
"IPAustralia",448.782739079748,14
"Vontweeter",0,8
"jameswoollard",0,1
"felicityloughre",0,1
"kippjohn",0,1
"JerseyPalnter",0,1
"keranm",0,1
"NMKenny",0,2
"BernHyland",491.190980710484,11
"walkingadvert",0,3
"stysoe",0,1
"rachsalvadora",1.04478749761769,3
"Accenture_ANZ",0,26
"GovhackBallarat @ballarattp",0,1
"cunningham_cch",0,1
"MacyKaufman11",0,1
"filipvh",0,1
"GeoAusData",527.974433919677,28
"Darcy_Rooster",0,1
"Aaarghhhhhh",0,1
"mackaysuzie",0,2
"deniseshrivell",0,2
"teh_aimee",1325.13476101312,9
"JoMangee",0,3
"rfitzgerald",0,3
"macgibbon",0,1
"miladyred",0,1
"GovHackSC",983,4
"AdvanceQld",0,1
"RoboticsRev",0,1
"JustineMontes7",0,1
"stevepurkiss",0,1
"thereseflapper",0,2
"GSwinbourne",0,1
"DataTfNSW",5,7
"DanielWoodQLD",0,1
"tjoepar",0,18
"DigitalQld",0,1
"iMarkPhillips",0,3
"prevamviwa1987",0,1
"poojaudani55",0,1
"ivacielo",0,1
"dis_comrade",0,1
"adelsalison @govhack_sa @ICCUniSA @UniversitySA",0,4
"WesleyWilson",0,1
"mr_natbug",0,2
"JulianneHays11",0,1
"sahrendipity",0,1
"CierraKirby5",0,1
"hack5unleashed",0,1
"AmberAv86698389",0,1
"geomcaleese",0,1
"GovHackNT",2125.22516609016,17
"Petermc171",0,1
"adam_mowlam",0,1
"OttLegalRebels",0,1
"TheHaag1",0,1
"vk2utc",0,1
"nasusmj49",0,1
"ADL_Archivist",0,2
"desplesda",0,1
"KKAusRuminants",0,1
"gavintapp",0.711939337452334,2
"AccenturePubSvc",0,4
"TheGeekJo",0,1
"jolon",0,3
"JulianWoodhouse",0,1
"GovHackSydney @Matt_KeanMP",0,4
"Ganjm001 @govhack_sa",0,7
"jane_carps",0,2
"david_adamson",498.428571428571,11
"CDUni_VC",0,1
"KatyaHenry",0,1
"MakeHackVoid",0,1
"csirac2",0,1
"sal_weavers",0,1
"AustBusinessNet",0,1
"Trends5AU",0,1
"betheworrall",0,1
"somersolvit",0,1
"statelibrarynsw",0,1
"simonster69",0,4
"treen42",0,4
"stellaorbit",0,2
"cumming_jon @GovHackCBR",0,6
"JBMelbs",0,2
"GovHackAU @launtel",0,1
"danielksloan",0,1
"sara_stace",0,1
"samanthawong_au",0,1
"MDC_Aus",0,1
"kelhutchinson",20.8208962764673,3
"KimRedfern3",0,1
"markagray",0,1
"smartcitiesanz",0,1
"LocationEurope",0,1
"GSDIAssn",0,2
"lesleychenoweth",0,2
"LoganRedlandRDA",0,6
"tractorator",0,1
"TheotherMCG",0,3
"PaulJohnHodgson",0,1
"gringene_bio",0,3
"WhyteCo",0,1
"mongrel43",142.573855968754,5
"paramsatya",0,2
"myleejoseph",0,2
"FireStation101 @FireStation101",0,3
"monashGENERATOR",0,1
"tleeuwenburg",0,5
"actgovernment",2522.31636321195,21
"WeAreBrisbane",0,1
"iamcraigclark",0,3
"CoreNet_AU",0,1
"thecolourfool",0,1
"informationarc",422,3
"lindaamccall",0,1
"BenMitraKahn",484,8
"RedlandCouncil",0,1
"manicolo_emma",0,3
"mattswards",0,3
"BelindaCoates",2.16753246753247,6
"IreneKitsara",0,1
"plabg",0,1
"FBCoach_Mahon",0,2
"CanberraGrammar",139.333333333333,7
"psyex",0,2
"dasweaverd",0,3
"GovHackSydney @Matt_KeanMP @GovHackSydney",0,2
"Matt_KeanMP",0,5
"datansw",0,2
"cumming_jon",0,4
"kbuttfield",0,1
"SusanCarchedi",0,5
"Emotivate",195.333333333333,4
"data_govt_nz .@GovHackNZ",0,1
"QUTfoundry",0,3
"SAMengel3",0,1
"CGSAsiaEd",0,3
"RobClout",0,4
"Data_Vic @JBMelbs",0,1
"erin_kenna",0,1
"GovHackVIC @melbactivist",0,1
"cartoross",0,1
"YourGoldCoast",0,1
"BenMaliel",0,1
"richcelm",0,1
"DavidBromage",0,2
"sean_audain",0,1
"simulationagent",0,1
"_RandallAustin",0,1
"TorangeJuice",0,1
"LoganRedlandRDA @CrKarenWilliams",0,1
"MayorLukeSmith",0,1
"LoganRedlandRDA @MayorLukeSmith",0,1
"RDataMining",0,1
"CanberraDataSci",0,1
"Brodie_Jackson",0,2
"NicoleWill100",0,1
"CrJohnConnolly",0,2
"CouncilSCC",498,13
"sparkbureau",0,7
"klbutler65",0,2
"spedavoli",0,1
"proxima_io",0,1
"timeimp",0,1
"NERAnetwork",0,1
"whatnick",0,1
"MySunshineCoast",0,3
"TransportforNSW",0,1
"noosaboardroom",0,1
"nataliaalbert",0,1
"Digital_SC",0,2
"FBAlliance_",0,1
"hackdunedin",0,1
"InternetNZ",0,6
"marc_dorey",0,1
"earlbutterworth",0,2
"eduardlio",0,1
"pjf",0,1
"adam_kent",0,1
"Sonictail",0,1
"MJLawie",0,1
"localstories1",0,1
"lesleyseebeck",0,1
"TablelandsArts",0,2
"alicadaly",0,2
"Eurocentrique",0,1
"YouthFed1",0,2
"voteholder",0,2
"ballaratcourier",0,6
"RMrisk",0,11
"MarlonGonsalv24",0,2
"2BDgz",0,1
"GriffithLibrary",0,10
"MapCurator",0,5
"MsLods",0,1
"DisruptorsHbk",0,1
"arunkarthik89",0,1
"ReesbyOfficial",0,4
"LaundyCraigMP",0,1
"jadecavalcante_",0,1
"austmathstrust",0,1
"hunt5man",0,1
"CSIROnews",0,1
"Innov_Partner",0,4
"shelleycopsey",0,3
"BronPollock",0,1
"amvgreenberg",0,1
"socrata .@actgovernment",0,1
"lin_nah @piawaugh",0,1
"maitlandwaters",0,2
"hackyhourGU",0,1
"SMinney",0,2
"aurin_org_au",0,5
"SouBundanga",0,1
"eolh",0,1
"AllanBarger",0,1
"MJ_Leaver",0,1
"erstkate",0,1
"ABSCensus",0,1
"judysuthrlandnz",0,1
"danrandow",0,1
"xvlOG",0,1
"t_s_institute .@actgovernment",0,1
"WangWeikong",0,1
"juanda_zulu",0,1
"Cloudmine_Shan @GovHackNT",0,1
"sherro58",0,2
"dottechdomains",0,2
"geoshburton",0,1
"mcne65",0,1
"GeoAusLibrary",0,2
"mistiub4",0,1
"WaterDecisions",0,1
"JESSTHESEQUEL",0,1
"EmmyMBWilson",0,1
"rrichard09",0,1
"SiliconBeachMel",0,5
"AgentOrangeAUS",0,1
"mrjwo",0,2
"CMUAustralia",0,1
"GovHackAU @LDexterMiller",0,1
"damienjbarnes",0,1
"UniversitySA",0,2
"Pryor365",0,4
"getlearning",0,1
"get_stem",0,1
"alberto_camillo",0,1
"KoulaliAchraf",0,1
"AdelaideSmart",0,8
"SueEllen32",0,3
"BenMitraKahn @alicadaly @GovHackAU @govhackmelb @IPAustralia_OCE",0,4
"realsheldonrego",0,1
"VicRamanauskas",0,3
"cityofballarat",0,1
"RDA_GS",0,1
"accenturejobanz",0,2
"blackswantrade",0,1
"chongyee",0,2
"AusisEdu",0,1
"GovHackVIC @corrinneheading",0,1
"Outpost_Zebra",212,3
"paws101",0,1
"trishrow",0,2
"smartcityfeed",0,6
"PlayfordCouncil",0,4
"energycoin",0,2
"RexCabinet",0,1
"timothyinau",0,1
"nzoss",0,10
"deSErtHUB",0,1
"GovHackAU @Accenture_ANZ @GovHackNZ",0,1
"queengaylew",0,1
"venusinformatix",0,1
"anne_k1001",0,1
"qcifltd",420,10
"avtrifonov",0,1
"QFAB_Bioinfo",0,1
"JeremyDupuit",0,1
